epoch	lr	loss	acc	val_loss	val_acc	delta_ema
195	1.0e-02	0.6802	0.9431	1.7153	0.7279	-0.00287
196	1.0e-02	0.6791	0.9430	1.7156	0.7255	-0.00139
197	1.0e-02	0.6710	0.9429	1.7466	0.7303	-0.00006
198	1.0e-02	0.6788	0.9407	1.7626	0.7155	-0.00400
199	1.0e-02	0.6775	0.9417	1.7025	0.7256	-0.00460
200	1.0e-02	0.6767	0.9410	1.7323	0.7243	-0.00324
201	1.0e-02	0.6695	0.9440	1.6960	0.7265	-0.00176
202	1.0e-02	0.6689	0.9426	1.7595	0.7284	-0.00246
203	1.0e-02	0.6665	0.9432	1.7894	0.7209	-0.00170
204	1.0e-02	0.6666	0.9437	1.7846	0.7188	-0.00221
205	1.0e-02	0.6709	0.9425	1.7162	0.7223	-0.00376
206	1.0e-02	0.6658	0.9414	1.8006	0.7153	-0.00295
207	1.0e-02	0.6749	0.9399	1.7494	0.7233	-0.00238
208	1.0e-02	0.6636	0.9424	1.7191	0.7210	-0.00171
209	1.0e-02	0.6634	0.9435	1.7379	0.7201	-0.00221
210	1.0e-02	0.6637	0.9423	1.7800	0.7229	-0.00385
211	1.0e-02	0.6665	0.9423	1.8281	0.7130	-0.00328
212	1.0e-02	0.6704	0.9407	1.7515	0.7236	-0.00317
213	1.0e-02	0.6675	0.9424	1.7993	0.7087	-0.00409
214	1.0e-02	0.6666	0.9423	1.7115	0.7266	-0.00273
215	1.0e-02	0.6632	0.9430	1.8288	0.7054	-0.00225
216	1.0e-02	0.6656	0.9416	1.8515	0.7090	-0.00595
