epoch	lr	loss	acc	val_loss	val_acc	time
236	2.5e-03	0.8347	0.8794	0.3269	0.9624	177
237	2.5e-03	0.8311	0.8827	0.3243	0.9645	178
238	2.5e-03	0.8345	0.8815	0.3392	0.9601	177
239	2.5e-03	0.8288	0.8828	0.3363	0.9611	178
240	2.5e-03	0.8342	0.8819	0.3320	0.9602	177
241	2.5e-03	0.8297	0.8838	0.3256	0.9645	178
242	2.5e-03	0.8315	0.8824	0.3355	0.9637	178
243	2.5e-03	0.8391	0.8796	0.3288	0.9622	178
244	2.5e-03	0.8338	0.8830	0.3360	0.9604	177
245	2.5e-03	0.8370	0.8811	0.3344	0.9619	177
246	2.5e-03	0.8310	0.8816	0.3308	0.9618	177
247	2.5e-03	0.8294	0.8823	0.3306	0.9629	177
248	2.5e-03	0.8287	0.8797	0.3372	0.9612	177
249	2.5e-03	0.8282	0.8845	0.3274	0.9651	178
250	2.5e-03	0.8270	0.8840	0.3322	0.9620	177
251	2.5e-03	0.8231	0.8851	0.3317	0.9641	177
252	2.5e-03	0.8260	0.8830	0.3340	0.9633	177
253	2.5e-03	0.8304	0.8805	0.3275	0.9632	178
254	2.5e-03	0.8307	0.8818	0.3331	0.9623	178
255	2.5e-03	0.8299	0.8823	0.3301	0.9625	178
256	2.5e-03	0.8256	0.8832	0.3347	0.9607	177
257	2.5e-03	0.8321	0.8806	0.3322	0.9630	178
258	2.5e-03	0.8265	0.8851	0.3353	0.9617	177
259	2.5e-03	0.8242	0.8817	0.3295	0.9628	178
260	2.5e-03	0.8300	0.8832	0.3322	0.9631	177
261	2.5e-03	0.8281	0.8814	0.3322	0.9629	177
262	2.5e-03	0.8244	0.8832	0.3297	0.9610	178
263	2.5e-03	0.8262	0.8847	0.3349	0.9623	178
264	2.5e-03	0.8271	0.8811	0.3290	0.9624	178
265	2.5e-03	0.8241	0.8832	0.3286	0.9631	178
266	2.5e-03	0.8198	0.8846	0.3322	0.9622	178
267	2.5e-03	0.8244	0.8853	0.3304	0.9654	178
268	2.5e-03	0.8167	0.8871	0.3250	0.9628	177
269	2.5e-03	0.8195	0.8853	0.3313	0.9640	177
270	2.5e-03	0.8234	0.8843	0.3281	0.9629	178
271	2.5e-03	0.8274	0.8836	0.3269	0.9640	178
272	2.5e-03	0.8283	0.8811	0.3404	0.9595	177
273	2.5e-03	0.8194	0.8842	0.3254	0.9625	177
274	2.5e-03	0.8228	0.8845	0.3273	0.9644	177
275	2.5e-03	0.8240	0.8828	0.3301	0.9621	178
276	2.5e-03	0.8247	0.8833	0.3298	0.9643	178
277	2.5e-03	0.8225	0.8842	0.3294	0.9635	178
278	2.5e-03	0.8232	0.8860	0.3295	0.9628	177
279	2.5e-03	0.8234	0.8847	0.3247	0.9639	178
280	2.5e-03	0.8238	0.8845	0.3343	0.9610	177
281	2.5e-03	0.8243	0.8844	0.3236	0.9643	177
282	2.5e-03	0.8191	0.8844	0.3268	0.9640	177
283	2.5e-03	0.8210	0.8861	0.3327	0.9640	177
284	2.5e-03	0.8180	0.8874	0.3301	0.9630	178
285	2.5e-03	0.8172	0.8845	0.3343	0.9617	179
286	2.5e-03	0.8211	0.8855	0.3256	0.9651	173
287	2.5e-03	0.8163	0.8863	0.3308	0.9649	173
288	2.5e-03	0.8253	0.8837	0.3331	0.9619	173
289	2.5e-03	0.8218	0.8861	0.3302	0.9628	173
290	2.5e-03	0.8258	0.8837	0.3292	0.9661	173
291	2.5e-03	0.8180	0.8873	0.3411	0.9609	173
292	2.5e-03	0.8202	0.8846	0.3322	0.9616	174
293	2.5e-03	0.8160	0.8845	0.3298	0.9612	173
294	2.5e-03	0.8150	0.8870	0.3280	0.9617	174
295	2.5e-03	0.8244	0.8856	0.3299	0.9642	173
296	2.5e-03	0.8130	0.8872	0.3351	0.9626	173
297	2.5e-03	0.8207	0.8839	0.3305	0.9625	173
298	2.5e-03	0.8218	0.8859	0.3307	0.9633	173
299	2.5e-03	0.8206	0.8839	0.3171	0.9670	173
300	2.5e-03	0.8148	0.8857	0.3295	0.9618	173
